Question Number,Memory Type,Question,Ground Truth,AI Response,Response Length,Contains Error,Timestamp
144,Manual Entry,Who spilt coffee on their keyboard causing the ‘E’ key to stick?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:10:06.976146
145,Manual Entry,Who is the original owner of the kitten named Luna?,Chloe is fostering Luna from a shelter.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:10:20.259122
146,Manual Entry,What did Emma call her latte art blob?,A dinosaur named T‑Rex.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:10:34.502489
147,Manual Entry,"What item did Chloe forget on her blog, causing Whiskers to type ‘sssssssss’?",Whiskers lay on her laptop keyboard.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:10:48.084659
148,Manual Entry,How did the group decide to name their escape room video?,‘Friends vs. Puzzle: Chaos Edition.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:11:01.610910
149,Manual Entry,Which ingredient did Sarah accidentally mix up in her salad?,She used cumin instead of cinnamon.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:11:15.026104
150,Manual Entry,How did Emma treat her AI ethics research?,She found it fascinating and considered bias and personalization.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:11:28.605471
151,Manual Entry,Who decorated Jake’s crutches with stickers?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:11:42.220032
152,Manual Entry,"What dish did Sarah accidentally burn when she tried baking again, prompting jokes about her baking skills?",Cookies.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:11:55.595750
153,Manual Entry,What did Ryan purchase after receiving his company bonus?,A new camera lens.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:12:09.136507
154,Manual Entry,Which author did Sarah meet and get a book signed by?,Dr. Maya Thompson.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:12:22.506331
155,Manual Entry,Which blog milestone did Chloe celebrate with a giveaway?,"Reaching 25,000 subscribers.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:12:36.081624
156,Manual Entry,What main course did Jake make for his mom that looked like a pastry blob?,Salmon en croûte.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:12:49.762488
157,Manual Entry,What dessert did Jake repeatedly fail at until Sarah joked about it?,Tiramisu.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:13:03.669158
158,Manual Entry,Who secretly believed foaming milk is an art form?,"Jake, joking about latte art.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:13:17.090746
159,Manual Entry,What did Sarah try at the spa that resulted in a mud slip?,A mud bath.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:13:30.579136
160,Manual Entry,What did Ryan and his colleagues build at a hackathon that used AI?,A mentoring app matching employees with mentorship programs.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:13:44.086049
161,Manual Entry,Who brought garlic knots to Chloe’s welcome home dinner?,No one brought them; the restaurant served garlic knots and Sarah craved them.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:13:57.929457
162,Manual Entry,What color dress did Chloe wear to the blog award ceremony?,Emerald green with pockets.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:14:11.656797
163,Manual Entry,Who named their sourdough starter ‘Doughy McDoughface’?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:14:24.933770
164,Manual Entry,Which movie did the group watch that features a time‑traveling car?,‘Back to the Future.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:14:39.041156
165,Manual Entry,What video game theme did Jake joke about playing at Ryan’s sister’s wedding?,The Mario Kart theme.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:14:52.740976
166,Manual Entry,What was Sarah’s therapy diagnosis?,Social anxiety.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:15:06.415337
167,Manual Entry,Which piece of equipment did Jake use to recover from his ankle sprain?,Crutches and a knee scooter.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:15:19.870174
168,Manual Entry,What did Emma accidentally call her boss?,She didn’t; Sarah called her boss ‘Mom.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:15:33.381364
169,Manual Entry,Who predicted that Whiskers might send a purr vibe to heal Mittens?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:15:46.792946
170,Manual Entry,Which friend began learning sign language to communicate better?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:16:00.413198
171,Manual Entry,What is the running joke about Ryan’s dog and shoes?,Rex frequently chews up Ryan’s shoes.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:16:13.931092
172,Manual Entry,Which beverage does Ryan often choose instead of sugary cocktails?,Sparkling water or club soda.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:16:27.373996
173,Manual Entry,What did Emma name her sea turtle friend from Maui?,Crush.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:16:41.128944
174,Manual Entry,Which two pets now reside in Chloe’s home?,Whiskers and Luna.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:16:54.530088
175,Manual Entry,What vegetarian dish did Sarah plan to bring to sushi night?,"A veggie roll with cucumber, avocado, and pickled carrots.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:17:07.952854
176,Manual Entry,Why did the escape room host shout out the team?,For their witty team name ‘Quiztinas Aguilera.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:17:21.553181
177,Manual Entry,Who donated to the community garden instead of volunteering one day?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:17:34.734340
178,Manual Entry,What painting made Ryan realize the beauty of pointillism?,Seurat’s ‘A Sunday on La Grande Jatte.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:17:48.081046
179,Manual Entry,Which musical instrument did Liam play with Jake?,Guitar.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:18:01.781164
180,Manual Entry,What new device did Chloe purchase and decorate with stickers?,A silver ultrabook laptop with a backlit keyboard.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:18:15.006195
181,Manual Entry,Which friend planned to do a yoga retreat with coworker Mia?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:18:28.745250
182,Manual Entry,Who discovered that jazz music puts Rex to sleep?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:18:42.090995
183,Manual Entry,Which local coffee shop closing saddened Jake?,Bean There Done That.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:18:55.280186
184,Manual Entry,What did Emma jokingly call Sarah after finishing a meditation session?,A human marshmallow.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:19:09.241967
185,Manual Entry,What strategy game gave Ryan the nickname ‘Lord of the Sheep’?,Settlers of Catan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:19:23.143855
186,Manual Entry,Who wrote a blog post titled ‘Lessons from a Rainy Day’?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:19:36.481634
187,Manual Entry,Which novel about alternate lives did Chloe read?,‘The Midnight Library.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:19:49.956976
188,Manual Entry,What dish did Jake cook perfectly during his cooking class?,Risotto milanese.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:20:03.960184
189,Manual Entry,What food did Emma think might be too spicy for some at the potluck?,Her spicy Thai green curry.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:20:17.708751
190,Manual Entry,Which AI topic intrigued Emma as she prepared to lead a project?,AI ethics and personalization.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:20:31.575083
191,Manual Entry,What treat does Mocha (Sarah’s puppy) like to chew on?,Phone chargers.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:20:45.867126
192,Manual Entry,Who joked about carrying a telephone booth in their carry‑on?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:20:59.085157
193,Manual Entry,What type of novel is Sarah’s library book club reading?,A murder mystery set on a train.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:21:12.733343
194,Manual Entry,Who helped Chloe when her car stalled?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:21:26.024681
195,Manual Entry,Which book did Jake spend time reading about bread and fermentation?,‘Sourdough Culture.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:21:39.470745
196,Manual Entry,Who responded to an emergency vet visit because their dog ate a sock?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:21:53.194911
197,Manual Entry,Which TV series features an android twin twist that amazed Chloe?,‘Cosmic Detectives.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:22:06.729055
198,Manual Entry,What gift did Jake plan to bring to Ryan’s surprise birthday?,A mug that says ‘Chief of Chew Toys.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:22:20.142317
199,Manual Entry,Who planned to bring soy sauce and wasabi to sushi night?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:22:33.231461
200,Manual Entry,Who offered to design the album cover for the imaginary band?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:22:46.871667
201,Manual Entry,Which pets have names that reference celestial bodies?,Chloe’s cat Luna and Emma’s guitar Luna.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:22:59.956764
202,Manual Entry,What food did Emma joke about overstuffing at the potluck?,She didn’t; Sarah overstuffed pierogi.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:23:13.269699
203,Manual Entry,Which VR exercise did Emma decide to avoid after injuring a lamp?,The VR boxing workout.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:23:26.786411
204,Manual Entry,What did Chloe reorganize by color to cope with jet lag?,Her bookshelf.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:23:40.487425
205,Manual Entry,Who always ends up burning cookies?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:23:53.830224
206,Manual Entry,What did Jake buy for his desert trip to avoid sunburn?,A gigantic hat and extra sunscreen.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:24:07.642913
207,Manual Entry,What did Sarah refer to as ‘clay couture’?,Wearing her pottery apron to work.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:24:21.170879
208,Manual Entry,Which friend’s blog includes a Q&A section that blew up with travel questions?,Chloe’s.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:24:34.899996
209,Manual Entry,Who bought a scratch‑off ticket and won $500?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:24:48.021667
210,Manual Entry,Which friend tried to watch the VR Louvre experience?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:25:01.245167
211,Manual Entry,What animal did Ryan once find three blocks away after it chased a squirrel?,Rex.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:25:15.153972
212,Manual Entry,What event caused subscribers to receive a string of ‘s’ letters from Chloe?,Whiskers lay on her laptop keyboard and typed ‘sssssssss.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:25:28.523656
213,Manual Entry,Which friend attempted to make croissants and ended up with chewy rolls?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:25:42.012625
214,Manual Entry,Who built a pillow fort with her nephew?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:25:55.639420
215,Manual Entry,How did Emma handle her hair dye mishap?,She embraced her purple hair and received compliments.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:26:08.524773
216,Manual Entry,Which friend gave the group an inside joke about being applauded by a showerhead?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:26:22.018984
217,Manual Entry,Who compared their anxiety after being assigned an AI project to Chloe’s conference nerves?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:26:35.579937
218,Manual Entry,What dessert did Chloe plan to bake for the potluck that contained cinnamon and sugar?,Cinnamon rolls.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:26:49.181608
219,Manual Entry,Who had to change a flat tire in the rain?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:27:02.261688
220,Manual Entry,What sign did Sarah like best in American Sign Language?,The sign for ‘friend.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:27:15.459729
221,Manual Entry,Which friend is known to adopt pets impulsively?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:27:28.937024
222,Manual Entry,Who promised to bring miso soup to sushi night?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:27:42.348467
223,Manual Entry,Which song did Emma have on repeat early on that came up later as part of a playlist?,‘Midnight Reverie’ by The Moonlighters.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:27:56.353828
224,Manual Entry,Whose blog post on jet lag had the title ‘Surviving Jet Lag with Scones’?,Chloe’s.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:28:09.793605
225,Manual Entry,What item did Jake wear for his gig with his friend’s band?,His lucky hat from Little Italy.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:28:23.050828
226,Manual Entry,What treat did Sarah bring to Ryan’s surprise party besides cupcakes?,She only brought cupcakes; no other treat.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:28:36.692268
227,Manual Entry,Who always names inanimate objects like guitars and sourdough starters?,Jake and Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:28:49.813230
228,Manual Entry,Which friend ended up reading by flashlight during a power outage?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:29:03.906741
229,Manual Entry,What did Emma avoid catching at her friend’s wedding?,The bouquet.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:29:17.203718
230,Manual Entry,What did Jake and his friends see during the desert campfire?,The Milky Way and a scorpion.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:29:30.607203
231,Manual Entry,What snack did Emma and Jake eat while waiting for a tow truck when Chloe’s car stalled?,Ice cream.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:29:44.448436
232,Manual Entry,Whose birthday wish was to adopt another dog?,Ryan’s.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:29:58.053696
233,Manual Entry,Which person suggested hot chocolate instead of champagne for a winter wedding theme?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:30:11.683147
234,Manual Entry,What small luxury did Emma allow herself at the Maui retreat?,Silent breakfasts by a misty lake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:30:25.062129
235,Manual Entry,Who had their car break down during a thunderstorm?,Emma shared a story about her car breaking down during a storm.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:30:39.760639
236,Manual Entry,What DIY gift did Chloe plan to send with her blog giveaway basket?,A handwritten note.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:30:53.479077
237,Manual Entry,What did Polly say to encourage coffee purchases?,‘Buy coffee!’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:31:06.644592
238,Manual Entry,How did Sarah’s therapy label make her feel?,It felt strange but validating.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:31:20.975300
239,Manual Entry,Which friend organizes community garden volunteer days?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:31:34.339832
240,Manual Entry,What type of pizza does Ryan argue about being real pizza?,Chicago deep‑dish pizza.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:31:47.968944
241,Manual Entry,Who saved Chloe’s engine trouble day by driving a station wagon?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:32:01.509327
242,Manual Entry,What plant did Sarah accidentally mix up while gardening?,She planted basil in the tomato row.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:32:14.995388
243,Manual Entry,Who spilled cappuccino on themselves during their first shift as a barista?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:32:28.443253
244,Manual Entry,What dessert did Ryan burn because he forgot the baking soda?,Banana bread.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:32:42.005691
245,Manual Entry,Who had a hula bobblehead as a souvenir?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:32:55.207076
246,Manual Entry,What character did Emma’s latte art blob resemble?,A dinosaur (T‑Rex).,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:33:08.789801
247,Manual Entry,Which animal does Emma’s cat Mittens knead like?,He kneads like bread dough.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:33:22.173295
248,Manual Entry,What are the names of Chloe’s two cats?,Whiskers and Luna.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:33:35.636890
249,Manual Entry,What item did Jake mention injuring himself with that prevented him from playing guitar?,He cut his finger chopping herbs.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:33:49.329475
250,Manual Entry,Which friend often uses stickers to decorate objects?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:34:02.263209
251,Manual Entry,Who noted the ‘800 aroma compounds in coffee’?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:34:15.715783
252,Manual Entry,Which classical piece can Jake play on guitar for weddings?,Pachelbel’s Canon.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:34:29.222962
253,Manual Entry,Who made an ‘organic blob’ in pottery that the teacher called art?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:34:42.881080
254,Manual Entry,What dessert did Ryan’s colleagues rave about at the jazz lounge?,Blueberry cheesecake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:34:56.130692
255,Manual Entry,Which band did Jake perform with at a gig?,His friend’s band (name unspecified).,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:35:09.282558
256,Manual Entry,What dish did Emma claim she would bring for potluck dessert that required piping?,Homemade churros with chocolate dip.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:35:23.056614
257,Manual Entry,Who mentioned reading ‘Atomic Habits’?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:35:36.907495
258,Manual Entry,Which friend wore a fedora to the midnight jazz concert?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:35:51.437857
259,Manual Entry,What memory from Yosemite did Sarah recall after using a meditation app?,She dreamed of hiking in Yosemite again.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:36:05.230710
260,Manual Entry,Who said their playlist is a ‘chaotic mix from classical to K‑pop’?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:36:18.975950
261,Manual Entry,Which friend is most accident‑prone with kitchen knives?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:36:32.254509
262,Manual Entry,Who offered to bring a salad with lemon vinaigrette to Jake’s dinner party?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:36:46.353496
263,Manual Entry,What did Emma ask for from Chloe to take from London as a souvenir?,English tea (Earl Grey).,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:37:00.143038
264,Manual Entry,Who purchased a teal guitar and named it Luna?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:37:13.367201
265,Manual Entry,Which friend uses plants as an audience for practice speeches?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:37:26.648617
266,Manual Entry,What device did Ryan rely on when his E key stopped working?,Voice‑to‑text.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:37:40.130099
267,Manual Entry,Who planned to propose a band named ‘The Chatty Cats’?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:37:53.572727
268,Manual Entry,"What dessert did Sarah promise to bake for a potluck, besides cookies?",Strawberry shortcake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:38:07.137107
269,Manual Entry,Who has a running theme of embracing purple hair accidents?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:38:20.395286
270,Manual Entry,Which friend recommended self‑deprecation to Chloe to ease presentation nerves?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:38:33.727994
271,Manual Entry,What did Ryan’s boss call him after the hackathon success?,Innovative.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:38:47.033702
272,Manual Entry,Which friend uses a paper planner instead of digital?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:39:00.331200
273,Manual Entry,Who found themselves at a Buddhist temple because of getting lost?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:39:13.498340
274,Manual Entry,What treat did Emma mention adding to their potluck as part of her Thai dish?,Bamboo shoots and eggplant.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:39:27.394737
275,Manual Entry,Who said their internal compass is set to caffeine?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:39:40.658384
276,Manual Entry,What award did Chloe’s blog win?,A community award for ‘Best Lifestyle Content.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:39:53.800092
277,Manual Entry,Which band’s tribute concert made Jake’s ears ring for two days?,A Metallica tribute concert.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:40:07.334572
278,Manual Entry,Who spilled coffee on their keyboard and stuck the E key?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:40:20.609532
279,Manual Entry,Who recommended a book called ‘Braiding Sweetgrass’?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:40:34.017074
280,Manual Entry,Which friend’s nephew built pillow forts?,Sarah’s nephew.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:40:47.300348
281,Manual Entry,What does Rex do when he hears jazz music?,He falls asleep.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:41:00.552057
282,Manual Entry,Which friend attended a silent breakfast at a yoga retreat?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:41:14.124655
283,Manual Entry,Who read a memoir about climbing Mount Everest?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:41:27.947870
284,Manual Entry,Which friend discovered their car doesn’t have paper boarding passes due to a shortage?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:41:41.657619
285,Manual Entry,Who became anxious about giving a speech at an award ceremony?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:41:55.360903
286,Manual Entry,What treat did Sarah win through a scratch‑off ticket?,"$500, which she used for a spa day.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:42:08.466631
287,Manual Entry,What surprising animal comforted Sarah at her cousin’s farm?,Goats and horses.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:42:21.962643
288,Manual Entry,Who names all of their pets after foods or drinks?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:42:35.213996
289,Manual Entry,Which friend has a habit of naming guitars after moons?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:42:48.608824
290,Manual Entry,What treat did Chloe plan to include in her subscriber giveaway?,"A basket with tea, a scented candle, and a handwritten note.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:43:02.014142
291,Manual Entry,Who encouraged Emma to go on a beach vacation like Hawaii?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:43:15.476044
292,Manual Entry,Which friend wrote about cross‑cultural communication and used the chat group as an example?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:43:28.829245
293,Manual Entry,What sentimental object did Sarah’s grandma teach her to make?,Pierogi.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:43:42.050450
294,Manual Entry,Who referred to themselves as a human marshmallow after meditation?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:43:55.625631
295,Manual Entry,Who used miso soup as part of a sushi meal?,Chloe made miso soup.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:44:09.338782
296,Manual Entry,What dessert did Ryan often eat when stressed?,Chocolate donuts and cupcakes.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:44:23.315125
297,Manual Entry,Which friend has an obsession with hot sauce?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:44:36.356877
298,Manual Entry,Who had a bear encounter while camping?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:44:49.837923
299,Manual Entry,Which friend is always sending or receiving memes?,Emma and Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:45:03.381696
300,Manual Entry,What device did Rex chew besides shoes and the remote?,He destroyed the TV remote and Ryan’s running shoes.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:45:16.973508
301,Manual Entry,Who accidentally planted basil in the tomato row at the community garden?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:45:30.700301
302,Manual Entry,What brand of laptop did Chloe buy?,A silver ultrabook (brand unspecified).,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:45:43.802214
303,Manual Entry,Who first recommended the CalmCove meditation app?,Sarah’s coworker recommended it.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:45:57.187325
304,Manual Entry,Which friend wore mismatched socks as a fashion statement?,Ryan joked about wearing mismatched socks.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:46:10.403631
305,Manual Entry,Who is planning an Acadia National Park camping trip?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:46:24.278435
306,Manual Entry,Which band’s name inspired the escape room video title?,None; the video was titled ‘Friends vs. Puzzle: Chaos Edition.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:46:38.330076
307,Manual Entry,What did the group agree is mandatory for camping in Acadia?,S’mores.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:46:51.724733
308,Manual Entry,What kind of instrument is Rosie?,An acoustic guitar.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:47:05.034854
309,Manual Entry,Which friend spilled cappuccino on themselves at their new job?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:47:18.711409
310,Manual Entry,Who called themselves ‘Lord of the Sheep’?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:47:31.722172
311,Manual Entry,Which character in ‘Cosmic Detectives’ owns a pet robot dog?,The lead detective.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:47:45.111092
312,Manual Entry,Who bought a tea sampler as a souvenir?,Chloe gave Emma a sampler of English breakfast tea.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:47:58.481601
313,Manual Entry,Which friend discovered that VR rock‑climbing was too strenuous?,Emma.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:48:12.151120
314,Manual Entry,What object did Chloe repurpose into a cat planter?,A tiny succulent planter shaped like a cat made in pottery class.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:48:25.665263
315,Manual Entry,Which friend discovered that pointillism is mesmerizing?,Ryan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:48:39.411127
316,Manual Entry,Who hosted a tea party with scones to fight jet lag?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:48:52.907382
317,Manual Entry,Which friend was given a shell necklace as a gift?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:49:05.805433
318,Manual Entry,Who named their sourdough starter Doughy McDoughface?,Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:49:19.497300
